ID,ABCD_Final,ABC_Final,ABC_Subclass,D,D_Score,R1_Proximity,R2_Proximity,R1_Contact,R2_Contact,R1_Resistance,R2_Resistance,R1_Avoidance,R2_Avoidance,Approach/Avoidance,Resistance/Disorganization,ContactInitiation_R1,ContactInitiation_R2,InfantInitialApproach_R1,InfantInitialApproach_R2,TimeHeld_R1,TimeHeld_2,ContactDuration_R1,ContactDuration_R2,Crying_R1,Crying_R2,InfantVelocityToward_R1,InfantVelocityToward_R2,InfantVelocityAway_R1,InfantVelocityAway_R2,MotherVelocityToward_R1,MotherVelocityToward_R2,MotherVelocityAway_R1,MotherVelocityAway_R2,MotherInitialApproach_R1,MotherInitialApproach_R2,MotherInitialApproach_overall,ContactInitiation_overall,InfantInitialApproach_overall,TimeHeld_overall,ContactDuration_overall,Crying_overall,InfantVelocityToward_overall,InfantVelocityAway_overall,MotherVelocityAway_overall,MotherVelocityToward_overall
56,2,2,B1,0,1,1,1,1,1,1,1,3,3,0,-0.909075755,1,14,-0.005598797,0.011269498,0,0,4.6,50.48,0,0.070927681,0.038307257,0.021477288,-0.036301648,-0.020605972,0.03749459,0.077848649,-0.041665772,-0.064045457,14.40607935,20.56735257,17.48671596,7.5,0.002835351,0,27.54,0.035463841,0.03052081,-0.028756029,-0.051920914,0.057473184
57,2,2,B2,0,3.5,4,6,1,1,1,1,4,3,1.166666667,-0.457340618,5,0,-0.005666371,0.016772053,0,0,132.48,0,0.031381829,0.019666325,0.025084558,0.027628274,-0.020256723,-0.01547361,0.22122998,0.189783052,-0.010559262,-0.166605335,9.145904921,13.72941768,11.4376613,2.5,0.005552841,0,66.24,0.025524077,0.02638984,-0.017900514,-0.014229335,0.211887656
58,2,2,B2,0,1,1,4,1,1,1,2,4,1,0.666666667,-0.706623206,0,4,-0.000758548,-0.015992414,0,0,0,15.64,0.01803058,0.01602512,0.066035502,0.081475368,-0.065106988,-0.064146641,0.030381033,0.051495001,-0.03197536,-0.060228224,7.821853372,14.48526512,11.15355925,2,-0.008375481,0,7.82,0.01702785,0.07344417,-0.064621064,-0.045761468,0.041145458
61,3,3,C1,0,3,6,6,3,6,3,5,1,1,3.5,0.770919201,7,4,-0.001707327,0.062760956,0,0,86.44,130.04,0.400063502,0.580571429,0.039200359,0.036451953,-0.034040999,-0.029176479,0.093071096,0.057289981,-0.065094043,-0.03992926,41.94427016,41.64552679,41.79489848,5.5,0.030526815,0,108.24,0.490317466,0.03739845,-0.031111128,-0.050344525,0.073362483
62,4,2,D/B4,1,5.5,4,5,3,7,1,3,3,1,2.833333333,0.30895259,7,2,0.185632308,0.059475769,0,0.4,56,192.8,0.195071592,0.409873165,0.068438375,0.066228995,-0.064197416,-0.062026608,0.098534847,0.07111512,-0.098119404,-0.061590525,1.834736493,42.45105486,22.14289568,4.5,0.122554039,0.2,124.4,0.302472379,0.06740955,-0.06317586,-0.080999774,0.08559261
65,2,2,B2/B1,0,1,1,4,1,1,1,1,3,3,0.5,-0.909075755,0,2,0,-0.010721431,0,0,0,24.32,0.009406232,0,0.006843665,0.068439136,-0.04305563,-0.061671332,0.006879216,0.086111705,-0.138539629,-0.139600765,12.78712667,11.5806266,12.18387664,1,-0.005360716,0,12.16,0.004703116,0.06839437,-0.061532293,-0.13929294,0.020579188
67,2,2,B2/B4,0,1,4,6,1,5,1,3,3,1,2.333333333,-0.504170657,7,1,-0.12040852,-0.0431175,0,0,44.56,174.88,0.000939571,0.006298871,0.12644501,0.083527418,-0.116562757,-0.071368795,0.064467411,0.090574536,-0.0902435,-0.093335789,30.74128065,36.9035456,33.82241313,4,-0.08176301,0,109.72,0.003619221,0.10654592,-0.094166992,-0.091726462,0.077056618
69,3,3,C2,0,1,3,3,5,5,3,3,1,1,2.666666667,0.004625992,5,2,-0.000112744,-0.004335242,187.24,168.24,227.12,170.48,0.152057744,0.185443871,0.058334245,0.045020744,-0.074111816,-0.055194135,0.082339797,0.052709238,-0.075929706,-0.063347158,41.11838422,40.03744951,40.57791687,3.5,-0.002223993,177.74,198.8,0.168750808,0.0526205,-0.066251789,-0.071645648,0.06852814
70,2,2,B2,0,3.5,1,4,1,1,1,1,4,3,0.333333333,-0.457340618,0,6,0.007708034,-0.001055929,0,0,0,18.4,0.004328574,0.034067258,0.043194613,0.078697084,-0.039802738,-0.076887163,0.029444022,0.038999312,-0.03192766,-0.054796605,14.8612023,-17.49610437,-1.317451035,3,0.003326053,0,9.2,0.019197916,0.06044377,-0.057045815,-0.04310321,0.033949271
71,3,3,C1/B4,0,2.5,6,6,4,5,1,5,1,1,3.5,0.171775524,5,3,0.247311682,0.105128034,8.04,16.96,67.72,152.8,0.079962615,0.234043558,0.086334572,0.070702698,-0.050027456,-0.050527382,0.082654699,0.084273217,-0.111776521,-0.100102678,12.67855223,41.76198521,27.22026872,4,0.176219858,12.5,110.26,0.157003087,0.07824922,-0.050290912,-0.105647633,0.083535727
72,2,2,B2,0,2,1,6,1,5,1,3,3,1,1.833333333,-0.323476602,0,4,0.046376422,0.075129339,0,41.84,2.76,126.12,0.00372476,0.067404576,0.069678101,0.051899127,-0.065404534,-0.033830633,0.004420853,0.07149301,-0.033466849,-0.071572438,-26.63502958,37.65921258,5.5120915,2,0.060752881,20.92,64.44,0.035564668,0.06012495,-0.045046374,-0.053767754,0.037870185
73,2,2,B2,0,3.5,3,6,1,3,1,1,2,3,1.666666667,-0.457340618,4,2,-0.006006853,0.084678667,0.56,0,15.96,23.88,0.004116259,0.006946013,0.074747514,0.064296156,-0.081229303,-0.064313805,0.10855528,0.045794376,-0.103064483,-0.053978309,1.256724572,9.620651775,5.438688174,3,0.039335907,0.28,19.92,0.005531136,0.07050814,-0.075273878,-0.084195076,0.082642497
